userId,movieId,rating,timestamp
1,296,5.0,1147880044
1,306,3.5,1147868817
1,307,5.0,1147868828
1,665,5.0,1147878820
1,899,3.5,1147868510
1,1088,4.0,1147868495
1,1175,3.5,1147868826
1,1217,3.5,1147878326
1,1237,5.0,1147868839
1,1250,4.0,1147868414
1,1260,3.5,1147877857
1,1653,4.0,1147868097
1,2011,2.5,1147868079
1,2012,2.5,1147868068
1,2068,2.5,1147869044
1,2161,3.5,1147868609
1,2351,4.5,1147877957
1,2573,4.0,1147878923
1,2632,5.0,1147878248
1,2692,5.0,1147869100
1,2843,4.5,1147868891
1,3448,4.0,1147868480
1,3569,5.0,1147879603
1,3949,5.0,1147868678
1,4144,5.0,1147868898
1,4308,3.0,1147868534
1,4325,5.0,1147878122
1,4422,3.0,1147869048
1,4703,4.0,1147869223
1,4973,4.5,1147869080
1,5147,4.0,1147877654
1,5269,0.5,1147879571
1,5684,2.0,1147879797
1,5767,5.0,1147878729
1,5878,4.0,1147868807
1,5912,3.0,1147878698
1,5952,4.0,1147868053
1,6016,5.0,1147869090
1,6370,4.5,1147869191
1,6377,4.0,1147868469
1,6539,3.5,1147868461
1,6711,5.0,1147868622
1,6954,3.5,1147869150
1,7209,4.0,1147877986
1,7234,4.5,1147868869
1,7318,2.0,1147879850
1,7323,3.5,1147869119
1,7327,3.5,1147868855
1,7361,5.0,1147880055
1,7365,4.0,1147869033
1,7820,2.5,1147878050
1,7937,3.0,1147878055
1,7938,2.5,1147878063
1,7939,2.5,1147869183
1,7940,4.5,1147877967
1,8014,3.5,1147869155
1,8154,5.0,1147868865
1,8327,5.0,1147879375
1,8360,4.0,1147868682
1,8405,3.5,1147878095
1,8685,1.0,1147878023
1,8729,3.5,1147878452
1,8786,4.0,1147877853
1,8873,3.0,1147869094
1,8973,4.0,1147869211
1,27193,3.0,1147879774
1,27266,4.5,1147879365
1,27721,3.0,1147869115
1,31956,3.5,1147877610
1,32591,5.0,1147879538
2,1,3.5,1141415820
2,62,0.5,1141417130
2,110,5.0,1141416589
2,150,4.0,1141415790
2,151,4.5,1141415643
2,236,4.0,1141415659
2,260,5.0,1141417172
2,261,0.5,1141417855
2,266,1.0,1141415926
2,318,5.0,1141417181
2,333,5.0,1141415931
2,349,4.5,1141417045
2,356,4.5,1141416637
2,364,4.5,1141417077
2,380,1.0,1141415808
2,457,5.0,1141416618
2,480,2.0,1141417088
2,497,4.0,1141415566
2,524,3.5,1141417112
2,527,5.0,1141415816
2,534,4.5,1141417814
2,553,2.0,1141415539
2,588,2.0,1141417189
2,589,4.0,1141416748
2,653,3.0,1141415552
2,733,4.5,1141415905
2,858,3.5,1141416926
2,914,4.0,1141417642
2,953,4.5,1141417487
2,1035,1.0,1141415899
2,1080,1.0,1141415532
2,1136,5.0,1141417950
2,1196,5.0,1141417198
2,1197,5.0,1141415874
2,1198,4.0,1141417032
2,1201,2.5,1141415887
2,1210,5.0,1141416665
2,1246,4.0,1141416793
2,1257,5.0,1141417313
2,1270,4.0,1141417013
2,1271,1.5,1141417736
2,1275,4.5,1141417237
2,1283,4.0,1141416205
2,1287,5.0,1141417140
2,1291,5.0,1141416603
2,1293,5.0,1141417937
2,1299,1.0,1141416220
2,1302,3.0,1141417036
2,1356,5.0,1141417272
2,1374,4.5,1141415576
2,1376,5.0,1141417402
2,1393,4.0,1141417243
2,1431,3.0,1141416190
2,1465,3.0,1141417875
